datasize,name,ns/op,B/op
256,Unstable-Dps-Go2,54451,0
256,Stable-TimSort-Go2,32407,3376
256,Unstable-BuiltinSort-Sort,47159,32
256,Unstable-BuiltinSort-Slice,66488,112
256,Stable-BuiltinSort-Stable,62825,32
256,Stable-BuiltinSort-SliceStable,131794,112
4096,Unstable-Dps-Go2,1367810,0
4096,Stable-TimSort-Go2,583163,31248
4096,Unstable-BuiltinSort-Sort,1218340,32
4096,Unstable-BuiltinSort-Slice,1605830,112
4096,Stable-BuiltinSort-Stable,1492840,32
4096,Stable-BuiltinSort-SliceStable,3488650,112
65536,Unstable-Dps-Go2,30297400,0
65536,Stable-TimSort-Go2,15117800,670224
65536,Unstable-BuiltinSort-Sort,26370800,32
65536,Unstable-BuiltinSort-Slice,34911400,112
65536,Stable-BuiltinSort-Stable,27794500,32
65536,Stable-BuiltinSort-SliceStable,66069800,112