datasize,name,ns/op (Random),B/op (Random),ns/op (Xor),B/op (Xor)
256,Dps-SpecializedInts,3776,0,3610,0
256,Dps-TypeAssertion,62798,8224,60288,8224
256,TimSort-TypeAssertion,68628,10576,58663,10576
256,TimSort-Interface,29443,3408,15749,3408
256,TimSort-Slice,40867,3504,21031,3504
256,BuiltinSort-Sort,23748,32,21782,32
256,BuiltinSort-Stable,56696,32,36729,32
256,BuiltinSort-SpecializedInts,4244,0,4236,0
256,BuiltinSort-Slice,20925,64,19777,64
256,BuiltinSort-SliceStable,49009,64,30605,64
1024,Dps-SpecializedInts,36906,0,17911,0
1024,Dps-TypeAssertion,311657,32800,256177,32800
1024,TimSort-TypeAssertion,352327,45392,209264,45392
1024,TimSort-Interface,199690,14672,59312,14672
1024,TimSort-Slice,243694,14768,72290,14768
1024,BuiltinSort-Sort,151960,32,116044,32
1024,BuiltinSort-Stable,362256,32,131501,32
1024,BuiltinSort-SpecializedInts,46497,0,25782,0
1024,BuiltinSort-Slice,132004,64,98158,64
1024,BuiltinSort-SliceStable,326300,64,113901,64
4096,Dps-SpecializedInts,235649,0,107867,0
4096,Dps-TypeAssertion,1407550,131104,1117330,131104
4096,TimSort-TypeAssertion,1597070,193072,893045,152112
4096,TimSort-Interface,995689,64048,208950,43568
4096,TimSort-Slice,1189500,64144,255824,43664
4096,BuiltinSort-Sort,766334,32,536637,32
4096,BuiltinSort-Stable,1909860,32,556160,32
4096,BuiltinSort-SpecializedInts,308041,0,177332,0
4096,BuiltinSort-Slice,681366,64,475302,64
4096,BuiltinSort-SliceStable,1738560,64,479163,64
16384,Dps-SpecializedInts,1123270,0,494878,0
16384,Dps-TypeAssertion,6000930,524320,4714230,524320
16384,TimSort-TypeAssertion,9007350,750128,3272220,545328
16384,TimSort-Interface,4671990,244272,789433,141872
16384,TimSort-Slice,5655770,244368,988099,141968
16384,BuiltinSort-Sort,3534650,32,2311880,32
16384,BuiltinSort-Stable,9681240,32,2167330,32
16384,BuiltinSort-SpecializedInts,1383180,0,732985,0
16384,BuiltinSort-Slice,3108880,64,2051640,64
16384,BuiltinSort-SliceStable,8880180,64,1883500,64
65536,Dps-SpecializedInts,5085460,0,2060780,0
65536,Dps-TypeAssertion,39756200,2097180,28940800,2097180
65536,TimSort-TypeAssertion,32472800,2978350,20147900,2118190
65536,TimSort-Interface,22158500,965168,3187400,535088
65536,TimSort-Slice,26994100,965264,3929240,535184
65536,BuiltinSort-Sort,16055100,32,10360700,32
65536,BuiltinSort-Stable,48454000,32,8875220,32
65536,BuiltinSort-SpecializedInts,6231970,0,3139400,0
65536,BuiltinSort-Slice,14271700,64,9053050,64
65536,BuiltinSort-SliceStable,43551700,64,7590910,64